"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","japanese","portuguese",
"str_cfgvehicles_bandana_colorbase_useractions_cancelaction0","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action",
"str_cfgvehicles_bandana_colorbase_useractions_applybandage1","$UNT$Bandage","$UNT$Bandage","$UNT$Bandage","$UNT$Bandage","$UNT$Bandage","$UNT$Bandage","$UNT$Bandage","$UNT$Bandage","$UNT$Bandage","$UNT$Bandage","$UNT$Bandage","$UNT$Bandage",
"str_cfgvehicles_bandana_colorbase_useractions_applybandage0","$UNT$Bandage","$UNT$Bandage","$UNT$Bandage","$UNT$Bandage","$UNT$Bandage","$UNT$Bandage","$UNT$Bandage","$UNT$Bandage","$UNT$Bandage","$UNT$Bandage","$UNT$Bandage","$UNT$Bandage",
"str_cfgvehicles_bandana_colorbase1","A bandana, that can be tied into various headwear.","A bandana, that can be tied into various headwear.","A bandana, that can be tied into various headwear.","A bandana, that can be tied into various headwear.","A bandana, that can be tied into various headwear.","A bandana, that can be tied into various headwear.","A bandana, that can be tied into various headwear.","A bandana, that can be tied into various headwear.","A bandana, that can be tied into various headwear.","A bandana, that can be tied into various headwear.","A bandana, that can be tied into various headwear.","A bandana, that can be tied into various headwear.",
"str_cfgvehicles_bandana_colorbase0","Bandana","Bandana","Bandana","Bandana","Bandana","Bandana","Bandana","Bandana","Bandana","Bandana","Bandana","Bandana",
"str_cfgvehicles_bandana_camopattern0","$UNT$A useful camo pattern bandana that could be tied to mask or head cover.","$UNT$A useful camo pattern bandana that could be tied to mask or head cover.","$UNT$A useful camo pattern bandana that could be tied to mask or head cover.","$UNT$A useful camo pattern bandana that could be tied to mask or head cover.","$UNT$A useful camo pattern bandana that could be tied to mask or head cover.","$UNT$A useful camo pattern bandana that could be tied to mask or head cover.","$UNT$A useful camo pattern bandana that could be tied to mask or head cover.","$UNT$A useful camo pattern bandana that could be tied to mask or head cover.","$UNT$A useful camo pattern bandana that could be tied to mask or head cover.","$UNT$A useful camo pattern bandana that could be tied to mask or head cover.","$UNT$A useful camo pattern bandana that could be tied to mask or head cover.","$UNT$A useful camo pattern bandana that could be tied to mask or head cover.",
"str_cfgvehicles_bandana_blackpattern0","$UNT$A useful black pattern bandana that could be tied to mask or head cover.","$UNT$A useful black pattern bandana that could be tied to mask or head cover.","$UNT$A useful black pattern bandana that could be tied to mask or head cover.","$UNT$A useful black pattern bandana that could be tied to mask or head cover.","$UNT$A useful black pattern bandana that could be tied to mask or head cover.","$UNT$A useful black pattern bandana that could be tied to mask or head cover.","$UNT$A useful black pattern bandana that could be tied to mask or head cover.","$UNT$A useful black pattern bandana that could be tied to mask or head cover.","$UNT$A useful black pattern bandana that could be tied to mask or head cover.","$UNT$A useful black pattern bandana that could be tied to mask or head cover.","$UNT$A useful black pattern bandana that could be tied to mask or head cover.","$UNT$A useful black pattern bandana that could be tied to mask or head cover.",
"str_cfgvehicles_bait1","$UNT$A bait used to attract and catch fish.","$UNT$A bait used to attract and catch fish.","$UNT$A bait used to attract and catch fish.","$UNT$A bait used to attract and catch fish.","$UNT$A bait used to attract and catch fish.","$UNT$A bait used to attract and catch fish.","$UNT$A bait used to attract and catch fish.","$UNT$A bait used to attract and catch fish.","$UNT$A bait used to attract and catch fish.","$UNT$A bait used to attract and catch fish.","$UNT$A bait used to attract and catch fish.","$UNT$A bait used to attract and catch fish.",
"str_cfgvehicles_bait0","$UNT$Fishing Bait","$UNT$Fishing Bait","$UNT$Fishing Bait","$UNT$Fishing Bait","$UNT$Fishing Bait","$UNT$Fishing Bait","$UNT$Fishing Bait","$UNT$Fishing Bait","$UNT$Fishing Bait","$UNT$Fishing Bait","$UNT$Fishing Bait","$UNT$Fishing Bait",
"str_cfgvehicles_bark_birch1","Big chunk of light bark. Useful as kindling. Colors the water when submerged.","Big chunk of light bark. Useful as kindling. Colors the water when submerged.","Big chunk of light bark. Useful as kindling. Colors the water when submerged.","Big chunk of light bark. Useful as kindling. Colors the water when submerged.","Big chunk of light bark. Useful as kindling. Colors the water when submerged.","Big chunk of light bark. Useful as kindling. Colors the water when submerged.","Big chunk of light bark. Useful as kindling. Colors the water when submerged.","Big chunk of light bark. Useful as kindling. Colors the water when submerged.","Big chunk of light bark. Useful as kindling. Colors the water when submerged.","Big chunk of light bark. Useful as kindling. Colors the water when submerged.","Big chunk of light bark. Useful as kindling. Colors the water when submerged.","Big chunk of light bark. Useful as kindling. Colors the water when submerged.",
"str_cfgvehicles_bark_oak1","Big chunk of dark bark. Useful as kindling. Colors the water when submerged.","Big chunk of dark bark. Useful as kindling. Colors the water when submerged.","Big chunk of dark bark. Useful as kindling. Colors the water when submerged.","Big chunk of dark bark. Useful as kindling. Colors the water when submerged.","Big chunk of dark bark. Useful as kindling. Colors the water when submerged.","Big chunk of dark bark. Useful as kindling. Colors the water when submerged.","Big chunk of dark bark. Useful as kindling. Colors the water when submerged.","Big chunk of dark bark. Useful as kindling. Colors the water when submerged.","Big chunk of dark bark. Useful as kindling. Colors the water when submerged.","Big chunk of dark bark. Useful as kindling. Colors the water when submerged.","Big chunk of dark bark. Useful as kindling. Colors the water when submerged.","Big chunk of dark bark. Useful as kindling. Colors the water when submerged.",
"str_cfgvehicles_cowpelt0","Cow Pelt","Cow Pelt","Cow Pelt","Cow Pelt","Cow Pelt","Cow Pelt","Cow Pelt","Cow Pelt","Cow Pelt","Cow Pelt","Cow Pelt","Cow Pelt",
"str_cfgvehicles_cowpelt1","Pelt from cow. Can be tanned for further processing.","Pelt from cow. Can be tanned for further processing.","Pelt from cow. Can be tanned for further processing.","Pelt from cow. Can be tanned for further processing.","Pelt from cow. Can be tanned for further processing.","Pelt from cow. Can be tanned for further processing.","Pelt from cow. Can be tanned for further processing.","Pelt from cow. Can be tanned for further processing.","Pelt from cow. Can be tanned for further processing.","Pelt from cow. Can be tanned for further processing.","Pelt from cow. Can be tanned for further processing.","Pelt from cow. Can be tanned for further processing.",
